wk_start_dt,Revenue,DTC,Agcy_Comp,Prodn_Cont,Influencer,In_store
1-Jul-18,3803,24,-19,0,0,29
1-Aug-18,3687,75,11,0,0,0
1-Sep-18,4149,31,22,0,0,0
1-Oct-18,3839,62,11,0,0,0
1-Nov-18,4313,109,2,0,0,0
1-Dec-18,4714,88,0,137,0,0
1-Jan-19,3901,65,31,2,21,1
1-Feb-19,4553,-17,10,0,0,0
1-Mar-19,4560,153,9,8,26,-26
1-Apr-19,4255,87,25,0,0,0
1-May-19,4118,94,11,0,0,0
1-Jun-19,3976,706,41,39,4,1
1-Jul-19,3875,23,-5,1,11,-1
1-Aug-19,3952,46,1,75,0,7
1-Sep-19,3925,82,18,0,70,5
1-Oct-19,3589,29,9,0,0,10
1-Nov-19,4097,138,9,6,68,15
1-Dec-19,4422,186,9,30,139,7
1-Jan-20,3830,280,20,59,0,9
1-Feb-20,4540,396,26,45,10,10
1-Mar-20,2325,215,23,0,33,26
1-Apr-20,2609,57,0,13,0,4
1-May-20,4671,163,30,7,0,43
1-Jun-20,5238,-64,60,334,50,199
1-Jul-20,5573,-329,25,-72,1,173
1-Aug-20,5192,76,2,60,21,-17
1-Sep-20,5340,80,3,9,25,22
1-Oct-20,6118,156,0,16,26,-13
1-Nov-20,5330,77,13,0,16,3
1-Dec-20,6057,145,23,0,-3,-32
1-Jan-21,5061,94,25,0,-3,0
1-Feb-21,4941,117,33,-1,16,18
1-Mar-21,5474,96,0,8,25,35
1-Apr-21,4696,78,0,9,3,32
1-May-21,4519,124,27,53,11,5
1-Jun-21,5395,691,57,103,20,9
1-Jul-21,5550,-402,-25,87,28,0
1-Aug-21,4908,112,6,56,2,0
1-Sep-21,4623,148,50,19,0,1
1-Oct-21,4815,110,26,3,0,0
1-Nov-21,5075,127,6,110,0,0
1-Dec-21,5948,152,34,0,275,28
1-Jan-22,4470,88,23,0,0,56
1-Feb-22,4555,116,13,38,5,0
1-Mar-22,5918,180,37,44,285,0
1-Apr-22,5626,109,21,51,0,6
1-May-22,5436,297,24,143,331,1
1-Jun-22,5270,"1,421",37,66,155,59
